id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
181,30,1,3,1,0,1,138105,36,0,bad
182,40,1,1,1,4,0,51057,21,1,bad
183,50,1,2,1,3,3,117087,24,4,good
184,36,1,2,1,0,1,27404,18,1,bad
185,31,1,2,1,0,3,42160,15,5,good
186,74,0,3,0,0,1,158999,9,1,bad
187,68,1,0,0,0,1,36425,16,1,good
188,20,1,2,1,1,0,20894,12,5,bad
189,33,0,2,1,0,1,100564,18,4,good
190,54,1,3,1,3,3,142321,24,0,bad
191,34,1,1,0,1,1,119164,48,0,bad
192,36,1,2,1,0,1,121365,27,0,bad
193,29,1,2,2,0,3,65348,6,5,good
194,21,1,2,2,1,1,93961,45,5,bad
195,34,0,3,1,0,1,46531,9,3,bad
196,28,0,2,1,0,3,42842,6,5,good
197,27,0,2,2,1,1,29481,12,4,bad
198,36,1,2,0,4,1,85560,24,1,good
199,40,1,3,1,0,1,133207,18,4,bad
200,52,1,2,1,2,3,29016,9,3,good
201,27,1,1,1,0,0,36208,12,1,good
202,26,1,2,1,0,3,158627,27,0,good
203,21,1,2,2,0,0,27962,12,3,bad
204,38,1,1,1,0,3,46345,12,1,good
205,38,1,3,0,0,0,329313,30,1,good
206,43,1,2,1,0,3,59985,12,4,good
207,26,1,2,1,0,1,44144,12,2,good
208,21,1,1,1,0,0,203608,24,0,good
209,55,1,2,1,3,3,43803,12,1,good
210,33,1,2,1,4,3,95294,9,5,good
211,45,0,1,1,4,3,118885,36,5,good
212,50,1,2,1,0,0,164083,27,0,bad
213,66,1,3,1,0,2,59148,30,0,bad
214,51,1,2,1,4,3,103602,36,5,good
215,39,0,1,1,4,1,28892,6,3,good
216,31,1,2,1,0,0,96224,18,0,good
217,23,1,2,1,0,2,121303,36,5,good
218,24,1,1,2,0,0,93651,24,4,good
219,64,0,2,1,0,3,42284,10,1,good
220,26,1,1,1,0,1,19375,12,5,good
221,23,0,2,2,4,0,37200,12,3,good
222,30,1,2,1,0,3,21917,12,5,good
223,32,1,2,1,4,3,92318,24,0,good
224,30,1,2,1,0,3,144367,15,1,good
225,27,1,2,1,0,3,81003,36,6,good
226,27,1,2,1,3,1,339791,48,5,bad
227,53,1,3,0,0,0,243815,12,4,bad
228,22,1,2,1,0,3,45818,9,5,bad
229,22,1,2,0,0,0,97619,24,4,good
230,26,1,2,1,0,2,130510,36,5,bad
231,51,1,1,0,2,3,77717,9,1,good
232,35,1,2,1,1,3,66371,12,5,good
233,25,1,1,1,0,1,26846,18,5,good
234,42,1,1,1,0,3,47864,4,5,good
235,30,1,3,1,0,0,56513,24,5,bad
236,23,1,0,1,4,1,451205,6,1,bad
237,61,1,1,2,1,1,85777,21,0,bad
238,35,0,2,1,0,3,40021,12,5,good
239,39,1,2,1,0,0,78182,30,5,good
240,29,0,2,1,4,0,28365,24,1,bad
241,51,1,2,1,0,3,49445,6,5,good
242,24,1,2,0,0,0,142755,48,1,bad
243,27,0,2,1,0,3,36735,12,0,good
244,35,0,1,1,2,3,106857,12,3,good
245,25,1,2,1,0,3,38998,24,0,good
246,52,1,2,1,0,3,22227,12,5,good
247,35,1,2,2,1,3,37324,6,1,good
248,26,1,2,1,0,2,59675,24,4,good
249,22,0,2,2,0,3,13423,18,5,bad
250,39,0,1,1,3,0,20646,6,1,good
251,46,0,1,1,0,2,69781,12,4,good
252,24,0,2,1,0,1,66650,30,1,bad
253,35,1,2,1,1,3,128681,24,4,good
254,24,1,2,1,4,1,62930,9,4,good
255,27,1,1,1,4,1,229958,60,5,good
256,35,1,1,1,0,3,83204,24,5,good
257,29,1,2,0,0,0,66619,12,5,bad
258,23,0,2,1,1,3,118172,15,1,good
259,57,0,1,1,1,3,35774,11,5,good
260,27,1,2,1,0,0,51367,12,4,good
261,55,0,2,1,0,0,49693,24,5,good
262,36,1,3,0,0,0,164362,18,1,good
263,57,0,1,0,0,3,85188,12,3,good
264,32,1,1,1,0,3,38161,10,1,good
265,37,1,2,1,0,1,24862,15,5,bad
266,36,1,2,1,4,3,195424,36,0,good
267,38,0,2,1,0,3,47523,24,5,good
268,45,1,3,1,0,0,278318,14,1,bad
269,25,1,2,1,4,3,30969,24,5,good
270,32,1,2,1,4,3,82522,18,1,good
271,37,0,2,2,2,3,43462,12,4,good
272,36,1,3,0,4,1,377239,48,1,good
273,28,1,2,1,0,1,94860,48,5,bad
274,34,1,1,1,0,0,371938,30,6,bad
275,32,1,2,1,0,3,83607,9,5,good
276,26,0,2,1,0,3,74524,18,5,good
277,49,1,1,1,4,0,39122,12,4,good
278,32,0,2,1,0,3,142941,6,4,bad
279,29,1,3,2,1,3,58931,24,5,good
280,23,1,2,2,3,3,104408,15,1,good
281,50,1,2,1,0,3,48794,12,4,good
282,49,1,1,1,4,2,44795,18,5,good
283,63,1,2,1,4,3,47120,15,4,good
284,37,1,2,1,1,1,120218,24,1,good
285,35,0,1,1,0,0,332382,47,1,good
286,26,1,2,1,0,0,148428,48,1,good
287,31,1,3,0,1,1,235042,48,7,good
288,49,0,2,1,0,1,33852,12,5,good
289,48,1,2,1,0,0,31744,24,5,bad
290,26,1,2,1,0,3,33356,12,0,good
291,28,1,3,2,0,1,291338,36,1,bad
292,44,0,3,0,0,0,198989,24,1,good
293,56,1,2,0,0,2,148676,42,1,good
294,46,1,3,1,4,3,236499,48,0,good
295,26,0,2,1,0,1,308760,48,4,bad
296,20,0,2,2,4,3,144925,12,1,good
297,45,1,1,1,4,3,39897,10,1,good
298,43,1,2,1,0,3,77965,18,4,good
299,32,1,2,1,3,1,85095,21,4,good
300,54,0,0,1,0,3,20832,6,1,good
301,42,0,2,1,0,1,117924,36,5,bad
302,37,1,1,1,4,2,41664,24,1,bad
303,49,1,2,1,0,0,32178,10,1,good
304,44,1,2,0,2,3,313937,48,1,bad
305,33,1,2,1,3,3,47833,6,4,good
306,24,0,1,2,4,3,149141,30,1,good
307,33,1,1,1,1,0,22537,12,5,bad
308,24,0,2,1,0,1,38347,8,4,bad
309,22,1,1,2,0,1,8556,9,1,good
310,40,1,0,0,4,1,166811,48,7,good
311,25,1,2,1,1,3,170841,24,4,good
312,26,0,2,1,0,2,116219,24,4,good
313,25,1,1,1,0,1,21235,12,1,bad
314,29,1,1,1,4,2,46314,4,1,good
315,31,1,2,1,0,0,85126,36,4,bad
316,38,1,1,1,0,0,21948,12,4,good
317,48,0,1,1,4,1,134881,24,4,good
318,32,1,2,1,0,3,21731,12,3,good
319,27,0,1,1,0,0,112933,15,4,good
320,28,1,3,1,0,1,131719,30,1,bad
321,32,1,2,1,0,0,60078,24,5,bad
322,34,1,3,0,0,0,90210,24,1,good
323,28,1,2,1,3,0,82429,18,4,good
324,36,0,2,1,0,3,31868,18,1,good
325,39,1,1,1,0,0,105338,8,1,good
326,49,1,2,2,4,3,179831,12,4,good
327,34,0,2,1,3,3,47275,24,1,good
328,31,1,2,1,0,2,138663,36,5,good
329,28,1,2,1,0,1,33108,6,5,good
330,75,1,3,0,0,0,205065,24,1,good
331,30,0,2,1,1,3,57784,18,3,bad
332,24,0,3,1,1,1,229648,60,1,bad
333,24,0,1,2,1,3,359290,48,1,bad
334,23,1,2,2,0,0,127410,24,4,bad
335,44,1,3,2,0,0,104904,6,4,bad
336,23,0,1,1,0,1,65131,13,5,good
337,24,0,2,2,4,0,39525,15,2,bad
338,28,1,2,1,0,0,129239,24,4,good
339,31,1,1,1,0,1,47151,10,4,good
340,24,0,2,0,0,1,178033,24,3,good
341,26,0,1,2,0,0,111569,21,4,good
342,25,1,2,2,2,1,99603,18,5,good
343,33,1,3,1,0,1,137609,18,0,good
344,37,1,1,1,0,2,122419,10,1,good
345,43,0,1,1,0,3,45229,15,5,good
346,23,1,2,1,0,1,27342,13,5,good
347,23,0,0,2,2,1,116498,24,5,good
348,34,1,1,1,1,3,54033,6,0,good
349,32,1,2,0,3,1,35216,9,3,bad
350,23,0,2,2,0,3,38316,9,2,good
351,29,0,2,1,0,1,29729,9,4,bad
352,38,1,3,1,4,3,100099,18,1,good
353,28,1,2,2,0,0,192169,12,5,bad
354,46,1,2,0,2,3,22537,10,3,good
355,23,1,1,1,0,1,38626,24,1,bad
356,49,1,2,1,4,3,72261,12,5,good
357,26,1,3,1,0,3,138353,36,5,bad
358,28,1,2,1,0,3,24056,12,5,good
359,23,0,2,2,0,0,74586,30,4,bad
360,61,1,2,0,4,1,38409,18,3,good
361,37,1,3,1,4,2,105369,12,5,good
362,36,0,2,1,0,2,69657,12,1,good
363,21,1,2,2,0,3,54746,6,4,good
364,25,1,0,1,0,0,76663,18,4,bad
365,36,1,2,1,0,3,47802,12,0,good
366,27,1,2,1,0,3,119350,18,1,good
367,22,0,2,2,0,0,113150,18,4,good
368,42,1,2,1,0,0,106826,36,4,bad
369,40,0,2,2,0,1,93031,18,4,good
370,36,1,2,1,4,3,95449,36,1,good
371,33,1,2,1,0,3,188170,18,5,good
372,23,0,2,2,0,3,66526,10,4,good
373,63,1,3,0,4,3,426436,60,1,good
374,60,0,3,0,1,1,458242,60,7,bad
375,37,0,2,2,0,0,238235,48,0,bad
376,34,1,2,1,0,3,71920,18,5,good
377,36,1,2,0,4,3,26226,7,5,good
378,57,1,3,0,0,1,443858,36,1,bad
379,52,0,1,1,1,3,11222,6,1,good
380,39,1,2,1,4,0,68572,20,4,good
381,38,0,3,0,0,1,402256,18,1,bad
382,25,0,2,2,4,3,39773,22,1,good
383,26,1,2,1,0,2,41230,12,1,good
384,26,1,1,1,1,3,132432,30,0,good
385,25,0,2,1,0,3,69378,18,5,good
386,21,0,2,2,4,3,34906,18,5,good
387,40,1,3,1,0,1,228594,18,4,good
388,27,1,2,1,2,1,72106,15,0,good
389,27,0,2,1,0,3,44919,9,0,good
390,30,1,3,1,0,3,56420,18,1,good
391,19,0,1,2,3,1,30473,12,4,good
392,39,1,3,0,0,0,100719,36,1,good
393,31,0,2,1,0,0,60667,6,5,good
394,31,1,3,1,0,3,74586,9,4,good
395,32,1,2,2,1,1,364560,39,3,good
396,55,0,3,0,0,0,79918,12,4,good
397,46,1,2,1,0,0,72788,36,4,good
398,46,1,2,2,0,1,37913,12,1,bad
399,43,0,1,1,3,3,46996,24,5,good
400,39,1,2,1,0,3,45663,18,5,good
401,28,1,2,1,4,1,58497,18,0,good
402,27,1,2,1,0,3,268088,24,0,bad
403,27,1,1,1,0,3,24862,14,1,good
404,43,1,2,1,4,1,89869,18,1,good
405,22,1,2,1,0,1,63209,24,5,bad
406,43,1,2,1,4,3,68107,24,1,good
407,27,1,2,1,0,0,32643,15,5,good
408,26,1,3,1,2,3,100285,24,5,good
409,28,1,2,1,2,2,29109,12,1,bad
410,20,0,2,1,0,1,60977,24,5,good
411,35,1,3,1,0,3,224843,33,1,good
412,42,1,3,1,0,3,71052,12,0,bad
413,40,1,1,2,2,3,49507,10,1,good
414,35,0,2,1,4,0,42811,24,1,bad
415,35,1,2,1,0,3,181102,36,1,good
416,33,1,1,1,0,0,79949,12,1,bad
417,23,0,2,2,4,0,262601,18,3,good
418,31,0,3,1,2,3,86242,21,1,good
419,33,0,2,1,4,1,32302,18,1,bad
420,20,0,2,2,3,3,98766,15,1,good
421,30,1,2,1,4,1,62868,12,1,good
422,47,1,1,1,0,1,29698,12,1,good
423,34,1,3,1,1,3,49321,21,4,good
424,25,0,2,1,4,1,85622,12,4,bad
425,21,1,2,2,0,1,86149,18,1,good
426,29,1,2,1,0,3,85033,28,5,good
427,46,1,2,1,3,3,35619,18,5,good
428,20,1,2,1,0,3,40703,9,4,good
429,55,0,0,0,0,0,36890,18,6,bad
430,74,1,1,1,0,3,106888,5,0,good
431,29,1,3,1,0,1,351168,24,7,bad
432,36,1,3,0,0,0,58032,6,4,good
433,33,1,2,1,0,3,63798,24,6,good
434,25,1,2,1,0,0,66216,9,4,good
435,25,1,2,1,4,1,46004,12,5,bad
436,23,1,1,2,2,3,20460,6,6,good
437,37,0,2,1,3,3,39897,24,1,good
438,65,1,0,1,0,0,105214,42,6,good
439,26,0,0,1,0,2,18879,12,0,bad
440,39,1,3,1,0,3,58404,12,1,good
441,30,0,2,1,0,0,50220,12,4,good
442,29,1,2,1,0,1,81499,20,7,good
443,41,1,1,1,0,3,22289,12,3,bad
444,30,0,3,1,0,1,157976,48,4,bad
445,41,0,1,2,4,3,38564,9,3,good
446,34,0,2,1,0,0,57102,36,1,bad
447,35,1,2,1,0,1,79856,7,5,good
448,55,0,3,1,4,2,44144,12,4,good
449,61,1,2,1,3,1,46872,15,6,bad
450,30,1,3,1,4,3,342674,36,1,good
451,29,0,2,1,0,3,16058,6,5,good
452,34,1,2,1,0,3,85529,12,4,good
453,35,1,3,1,0,3,82770,24,1,good
454,31,1,2,1,0,0,149327,24,1,bad
455,29,0,3,1,0,3,83049,24,1,good
456,36,1,2,2,0,0,121055,11,1,good
457,35,1,2,0,0,0,104966,12,1,bad
458,27,0,2,1,0,0,10633,6,2,good
459,32,1,2,1,0,3,142414,18,5,good
460,37,1,2,1,0,0,112220,36,4,good
461,36,1,2,1,0,0,53351,15,1,good
462,34,0,3,2,0,1,93527,12,4,good
463,38,1,2,1,4,1,23374,12,3,good
464,34,1,2,1,0,3,60450,18,0,good
465,63,1,2,1,0,0,90644,24,1,good
466,29,0,1,2,0,0,51429,24,5,bad
467,32,1,2,1,4,3,224378,48,5,good
468,26,0,2,1,0,3,85684,33,0,good
469,35,1,1,1,0,3,145049,24,1,good
470,22,1,2,2,1,1,95852,24,5,bad
471,23,0,2,1,0,0,13888,6,3,bad
472,28,1,1,1,0,0,20274,9,1,bad
473,36,1,3,1,4,3,38378,6,3,good
474,33,1,2,1,0,1,38595,18,5,bad
475,26,0,2,2,0,0,96534,18,4,bad
476,24,1,2,1,2,3,79639,39,1,good
477,25,1,2,1,0,2,159712,24,5,good
478,39,1,1,1,1,1,32147,12,0,good
479,44,1,2,1,0,0,45818,15,4,good
480,23,0,1,1,0,1,110763,12,5,good
481,26,1,2,1,0,1,37231,24,1,good
482,57,0,2,2,3,0,112282,30,4,good
483,30,0,2,1,3,3,29760,15,4,good
484,44,1,2,1,2,3,36053,12,1,good
485,47,1,3,1,0,1,37479,6,1,bad
486,52,1,2,1,0,3,95387,12,5,good
487,62,0,2,0,0,3,116467,24,1,good
488,35,1,1,2,1,3,43958,10,1,good
489,26,1,2,2,0,3,109058,6,1,good
490,26,1,2,1,0,3,59954,12,5,good
491,42,0,3,0,0,1,257858,27,0,bad
492,27,0,2,1,1,3,38347,6,5,good
493,38,1,2,1,4,1,11408,6,5,good
494,39,1,1,2,0,0,65782,12,1,good
495,20,1,2,1,4,0,92876,24,4,bad
496,29,1,3,2,1,1,280054,36,4,bad
497,40,1,2,1,0,3,49135,24,4,good
498,32,1,1,1,0,1,40331,18,5,good
499,28,1,2,1,1,2,41013,6,1,good
500,27,0,2,1,0,0,96813,24,1,bad
501,42,1,2,0,0,0,170283,36,1,good
502,49,1,2,1,1,2,34906,9,5,good
503,38,1,2,1,1,1,37696,24,5,bad
504,24,0,2,2,0,0,37417,24,1,bad
505,27,1,1,1,4,3,40579,10,1,bad
506,36,1,2,1,2,2,73160,15,1,good
507,34,1,3,1,1,1,212350,15,1,bad
508,28,1,2,1,0,3,43803,24,5,good
509,45,1,3,1,1,3,266228,39,1,good
510,26,1,2,1,0,0,23529,12,1,bad
511,32,1,3,0,0,3,145266,36,1,good
512,26,1,2,2,0,2,83297,15,0,good
513,20,1,2,2,0,1,18135,12,5,good
514,54,1,2,1,4,3,69905,24,1,good
515,37,0,2,1,0,0,18879,6,1,good
516,40,1,1,1,0,0,42191,6,1,good
517,23,0,2,2,0,3,220937,36,4,bad
518,43,1,2,1,1,0,37293,6,1,good
519,36,1,2,0,4,3,21700,6,5,good
520,44,1,2,0,0,3,170717,24,6,good
521,24,0,2,1,0,0,98890,18,5,bad
522,53,1,2,0,0,0,220689,48,4,bad
523,23,0,2,1,1,3,108128,24,1,good
524,26,0,1,1,0,1,34503,18,5,good
525,30,1,2,1,0,1,246946,26,1,good
526,31,0,2,1,1,3,47492,15,3,good
527,42,1,1,1,0,3,46593,4,5,good
528,31,1,2,2,0,0,71362,36,5,bad
529,41,1,1,1,0,0,20522,6,1,good
530,32,1,2,1,0,1,70463,36,3,good
531,28,0,2,2,1,1,81561,15,1,bad
532,41,1,2,2,0,3,46593,12,1,good
533,26,1,2,1,1,3,40641,24,5,good
534,25,1,2,1,4,3,96255,24,5,good
535,33,1,2,2,0,2,71889,21,3,bad
536,75,0,3,1,4,0,42594,6,1,good
537,37,0,2,1,0,1,111972,18,4,good
538,42,1,3,0,0,0,240653,48,1,bad
539,45,0,1,1,0,2,94519,18,4,good
540,23,1,2,2,0,1,47554,12,5,bad
541,60,1,2,0,0,3,62992,24,1,good
542,31,1,2,1,4,0,196850,30,4,bad
543,34,1,1,1,0,2,88784,18,4,bad
544,61,1,1,1,0,3,38905,12,1,good
545,43,1,2,0,0,0,41323,24,1,bad
546,37,0,2,1,0,3,62682,24,1,good
547,32,1,2,1,0,3,48112,24,5,good
548,24,0,1,1,0,0,19406,12,5,bad
549,35,1,2,0,4,3,274598,48,1,good
550,23,0,2,1,4,3,30876,12,6,good
551,45,1,1,1,2,3,54250,6,5,good
552,34,1,2,1,0,0,216969,48,5,bad
553,27,1,2,1,1,1,61845,12,1,good
554,67,0,3,1,0,1,37169,9,3,good
555,22,1,2,1,0,1,41261,12,5,bad
556,28,0,2,1,1,1,70618,18,1,bad
557,29,0,2,1,4,3,155093,21,1,bad
558,27,1,2,1,0,0,110112,24,4,bad
559,31,1,1,1,0,1,59768,18,4,bad
560,49,1,2,0,4,0,91884,24,1,good
561,24,1,1,2,0,0,47926,24,5,bad
562,29,0,2,1,0,2,21173,6,5,good
563,37,1,2,0,4,1,384059,36,1,bad
564,37,1,3,1,4,1,146072,24,0,good
565,23,0,2,2,1,1,48143,24,5,good
566,36,1,2,1,0,0,42532,12,1,bad
567,34,1,2,1,3,3,79918,24,5,good
568,41,1,2,1,4,1,123349,48,5,good
569,31,0,2,1,0,0,209498,48,5,bad
570,23,0,1,2,0,0,100254,24,4,bad
571,38,1,2,1,0,3,184574,30,5,good
572,26,0,3,2,4,3,168423,24,1,good
573,22,0,1,1,0,0,24986,15,0,good
574,27,1,1,1,0,1,33542,9,5,good
575,24,0,2,1,0,3,86428,15,4,good
576,27,0,2,1,0,1,90830,12,5,good
577,33,0,2,1,4,3,59737,24,3,good
578,27,1,2,1,0,1,87420,36,1,bad
579,27,1,1,1,0,3,29047,24,3,good
580,30,1,2,1,0,1,32736,18,1,bad
581,49,1,1,1,0,1,96844,12,1,good
582,26,0,2,2,0,3,43028,9,4,good
583,33,1,1,2,0,1,73904,36,6,bad
584,52,0,3,0,4,3,66123,12,1,good
585,20,0,2,2,0,0,63209,18,4,bad
586,36,1,2,2,0,0,86769,9,1,good
587,21,1,1,1,0,0,39959,12,4,good
588,47,1,1,1,0,0,37727,18,2,bad
589,60,1,2,1,0,0,69626,12,4,bad
590,58,0,1,1,0,0,11935,12,5,good
591,42,0,2,2,4,1,60915,24,1,good
592,36,0,1,1,3,3,48732,21,0,good
593,20,0,1,2,0,1,84258,24,1,bad
594,40,1,3,1,4,0,42098,24,7,bad
595,32,0,1,1,1,1,28861,6,1,bad
596,23,0,2,2,0,0,44702,24,1,bad
